ID,الكلمة الحضرمية,الفصحى,الشرح الكامل
639,الفتة,مصنوعة من البر الذي يخبز بطريقة معينة,وهي مصنوعة من البر الذي يخبز بطريقة معينة ،ثم يدق إلى مسحوق خشن ويضاف له المرق .
640,فاضلة,الغرفة,الغرفة.
641,فراسله,جمعها فراسل,جمعها ) فراسل ( ،يساوي ٢٠رطلاً.
642,الفاقه,الشهية,الشهية. الفُقِش قطعة من الطين تكون مدورة ،تستخدم لأغراض الاستنجاء من النجاستين المخففة والمغلظة ،وهي ناعمة ،وأحياناً يغطى ا الحب )البر(.
643,فتر,جمعها أفتار أو فتور,جمعها )أفتار أو فتور(،وهو المسافة بين طرفي الإام والسبابة حوالي ١٨سم.
644,الفزحمي,تمر احمر كبير شديد الحلاوة,تمر احمر كبير شديد الحلاوة ،ولا يكون منه تمرا جيدا .
645,الفريم,الإطار للصور و للمرايا,الإطار للصور و للمرايا.
646,الفقوز,فصيلة من أنواع الكوسة,فصيلة من أنواع الكوسة .
647,فناجين,الفناجين المصنوعة من الطين,وهي الفناجين المصنوعة من الطين ،والتي يتناول فيها شرب القهوة.
648,الفخسوس,نوع من الحشرات اسود اللون,نوع من الحشرات اسود اللون .
649,الفلينة,الفانيلا لبس رجالي داخلي,الفانيلا ) لبس رجالي داخلي(.
650,القحارة,قحف النخلة,وهي قحف النخلة .
651,الفضح,بدء تحول الغاسي إلى البسر,بدء تحول الغاسي إلى البسر .
652,فزع-فزع,خوف,فزع بفتح الحاء ،بمعنى خوف ،وفزِع بكسر الزاء بمعنى خاف ،ويفزع يخاف.
653,فرقز,وسع أو فتح,وسع أو فتح ،يقولون):فرقَز عيونه يعني فتح عيونه(.
654,فخسسه,التذلل والمسكنة,وهي التذلل والمسكنة ،وهي مشتقة من حشرة الفخسوس.
655,فتله,خيط الغزل,خيط الغزل.
656,فكه,دعه وشأنه,أي دعه وشأنه ،وفُكَّني بمعنى دعني.
657,الفخطه,ما يخرج من فحل النخل للتلقيح,وهو ما يخرج من فحل النخل للتلقيح ،حيث يستخرج طلع الفحل من النخل ،يجفف وتلقح بغباره النخيل المزهرة ،وفخط النخلة لقَّحها .
658,القر,البرودة الشديدة,أي البرودة الشديدة.
659,قتم,غبار,بمعنى غبار.
660,قتب,ما يوضع على ظهر البعير أو الحمير تحت حموله,ما يوضع على ظهر البعير أو الحمير تحت حموله.
661,قاق,لفظه تستخدم عند الاستسلام,لفظه تستخدم عند الاستسلام ،أو تقال قبل الخضوع والاستسلام أو الوصول لدرجة اليأس والإذعان للشي.
662,قبصه,لدغه أو قرصة,لدغه أو قرصة ،والمثل القائل):قبصة في قرن ثور(.
663,قمري,فحل طيور العول,فحل طيور العول.
664,قبه,عبارة عن هيكل وجسم مخروطي الشكل,عبارة عن هيكل وجسم مخروطي الشكل ،يبنى بفن ومهارة حول الأضرحة .
665,قهاول,مكيال حضرمي,مكيال حضرمي.
666,القواره,العناد,العناد.
667,قطبه,قطعة,بمعنى قطعة ،والمثل القائل ):الجبر قِطْبه من الخنثْ(.
668,قدامي,أمامي,أي أمامي.
669,قروح البنادق,أصوات البنادق,أصوات البنادق.
670,القراف,ما يخرج من فحل النخل للتلقيح,وهو ما يخرج من فحل النخل للتلقيح ،حيث يستخرج طلع الفحل من النخل يجفف وتلقح بغباره النخيل المزهرة.
671,القبع,الضرب,الضرب.
672,القزازة,الزجاجة,الزجاجة.
673,القصيرة,الجنبية,الجنبية.
674,قرقعه أو قرقاعة,عبارة عن قطعة معدنية لإعلام صاحب البيت ل,وهي عبارة عن قطعة معدنية لإعلام صاحب البيت لوجود طارق ،وهي بمثابة الجرس في الوقت الحاضر. )نموذج من الجحلة(
675,القامزي,البارود,البارود.
676,قعت,صارت,بضم القاف والعين ،بمعنى صارت .
677,القشار,مجموعة من الأحجار الكبيرة تكون في البحر,مجموعة من الأحجار الكبيرة تكون في البحر.
678,القاسم,جمعها قواسم,جمعها قواسم ،أعمدة السقف الأساسية.
679,القبوع,جمع قبع,جمع قبع ،تبنى متفرقة تأتي من الناحية الجمالية على أسطح المساجد أو البيت أو لحصن وتنتهي مذبذبة.
680,قفا,خلفك,خلف ،وقفاك بمعنى خلفك. قِشاش السيل: . زبده وغثاؤه.
681,القباض,الخطوبة رسميا,الخطوبة رسميا ،حيث يتم مد المهر لأهل العروسة ،وهو المداد في لهجة أخرى.
682,القلبة,الجريد المنبثق من قلب النخلة حديثا,الجريد المنبثق من قلب النخلة حديثا.
683,القس,مفتاح الكهرباء,مفتاح الكهرباء.
684,القس,ما يبس من التمر وقسى,ما يبس من التمر وقسى .
685,القوقرة,تشبه التنورة,تشبه التنورة ،من ملابس المرة الداخلية.
686,القنفان,السحاب المتراكم,السحاب المتراكم.
687,قوووز,الجبل الرملي,الجبل الرملي.
688,قفله,جمعها قفال تساوي,جمعها ) قفال ( تساوي ٢،٣غرام ،تستخدم كوحدة وزن صغرى للبضائع الثمينة.
689,قابله,عكس البارحة غدا مساء,عكس البارحة ) غدا مساء ( .
690,قربه,عبارة عن وعاء حافظ للماء ومصنع من جلد الحيوان,عبارة عن وعاء حافظ للماء ومصنع من جلد الحيوان. )نموذج من القربة(
691,القلت,وجمعها قلوت,وجمعها قلوت ،وهي عبارة عن صهاريج جبلية تحفظ فيها مياه السيول لمدة أطول ،ومنها الكبير والصغير .
692,القميص,الثوب الأبيض الطويل,هو الثوب الأبيض الطويل .
693,القناقن,كرات دائرية من النحاس,وهي كرات دائرية من النحاس ،تعلق في الحجول لكي تعمل صوت عند الحركة
694,قاع,الأرض,الأرض ،والمثل القائل):الحصاه من القاع والدم من ضرسك(.
695,القبيل,مساعد المعلم,مساعد المعلم ،وبعد فترة ومع الخبرة التي حصل عليها يتحول إلى معلم.
696,القرع,بسر بدا يتمر أعلاه,بسر بدا يتمر أعلاه ،أو التمرة نصفها بسراً والآخر تمر.
697,قشعه,طيب ومؤدب,طيب ومؤدب ،تطلق للذي يسمع الكلام وخاصة تطلق على الطفل.
698,القضب,البرسيم,البرسيم.
699,القمبر,يقال للبرواز أو الصورة ما فلان قمبره زين,يقال للبرواز أو الصورة )ما فلان قمبره زين(.
700,القلامه,تشذيب النخل,تشذيب النخل.
701,قنص-قنيص,رحلة صيد الوعول,رحلة صيد الوعول.
702,القامة,معيار ارتفاع الماء,معيار ارتفاع الماء .
703,القرح,السطح الخالي من الجدران,هو السطح الخالي من الجدران.
704,القصب,عيدان الذرة,عيدان الذرة .
705,القرشط,أحذية بلاستيكية زنوبة,أحذية بلاستيكية ) زنوبة (.
706,القدوم,أله الحفر التربة,أله الحفر التربة ،ولكن ذو وجهه حادة ومدلَّقة بشكل أفقي.
707,قربعه,إحداث صوت وضوضاء,إحداث صوت وضوضاء.
708,القرمة,الفانيلا الداخلية للرجال,الفانيلا الداخلية للرجال.
709,والقوام,خشبة الباب الرأسية على اليمين أو الشمال قوامين,خشبة الباب الرأسية على اليمين أو الشمال ) قوامين (.
710,الذبذب,زهور التمر قبل تحولها إلى غاسي,زهور التمر قبل تحولها إلى غاسي ،وتؤكل قبل أن يتغير طعمها إلى المرارة ، ويكون الذبذب هشاً في البداية ثم يبدأ تحول الزهرة إلى ثمرة. القُفَّه. وتصنع من الخوص ،وتستخدم لحفظ الخبز .
711,القدمه,روث الماشية,مقدمة السيل يقال):أو القُدمه بعر( أي روث الماشية.
712,القعاده,السرير,السرير.
713,القلب,لمبة صغيرة جدا وتستخدم في الكشافات,لمبة صغيرة جدا وتستخدم في ) الكشافات (.
714,قطب,ايار في الأسوام لا يستطيعون ردمه حال وجود الماء,ايار في الأسوام لا يستطيعون ردمه حال وجود الماء ،فيقولون :هناك مكسر في الساقية
715,القعار القعرور القعر,نوع من النمل الأسود الكبير,نوع من النمل الأسود الكبير ،له لسعه شديدة الأذى .
716,القاذوف,مايأتي في رأس التمرة,مايأتي في رأس التمرة .
717,قارة,الجبل الصغير,الجبل الصغير.
718,القرقرة,الصوت يخرج من البطن والمثل القائل:بطن الس,وهو الصوت يخرج من البطن والمثل القائل):بطن السارق تقرقِر.(
719,حبه,ق عاهرة,قَ عاهرة .
720,كماش – كماك,مثلك,كماش ،تقال للمرأة بمعنى مثلِك ،وكماك تقال للرجل بمعنى مثْلَك.
721,الكيس,الجيب في القميص الشميز,بكسر الكاف ،الجيب في القميص )الشميز( .
722,الكدم,اللكمة,وهي اللكمة.
723,الكاني,القرمة الفانيلا الداخلية,)القرمة( الفانيلا الداخلية ،ومنها كاني الفنص ،كاني مكرعة ،كاني صوف.
724,الكاوس,الجورب أو الشراب,الجورب أو الشراب.
725,الكبش,قطعة سميكة من الخشب,قطعة سميكة من الخشب ،يقل طولها عن المتر الواحد ،تضع عرضا على السهم ،يميل الحضارمة إلى زخرفتها.
726,الكير,فرن حرق الأحجار الجيرية,الأفران التي تستخدم لحرق الأحجار الجيرية لاستخراج النورة.
727,الكمبار,ويقابلها الدرنش وهو المكان الذي تقضى فيه الحاجة,ويقابلها )الدرنش( وهو المكان الذي تقضى فيه الحاجة.
728,الكنشلي,السنتيانة,وهي السنتيانة.
729,الكواه,ويقابلها المدخنة,ويقابلها )المدخنة( ،في بعض البيوت الحديثة ،وهي فتحه وية تكون أعلى التنار تكون غالباً في المطبخ .
730,كم,يكون اية طرف الشميز,بضم الكاف ،يكون اية طرف الشميز ،ويغطي الزند في اليد والمثل القائل):جوابك في كمك ما هو عند أمك.(
731,كراع,اليد كاملة أو الساعد,اليد كاملة أو الساعد.
732,كز,أشعل النار,أشعل النار.
733,الكمر,الحزام,الحزام ،وهو مهيأ لحفظ المال به .
734,كنك,ما بك أو إيش فيك,بمعنى ما بك أو إيش فيك ،على سبيل المثال):كنك يا علي ساكت(.
735,الكبت,الدولاب,الدولاب.
736,ك زمه,أجزاء صغيره من قرص الخبز الحاف الناشف,أجزاء صغيره من قرص الخبز الحاف الناشف .
737,ك زمة,قلب النخلة الأبيض الإسفنجي الحلو ويؤكل,قلب النخلة الأبيض الإسفنجي الحلو ويؤكل،وهو جذر العرجون )المرعاد( ، ويكون ليناً ويؤكل ،يقال) :أزال الكرب حتى بلغ الكرزام (.
738,كركره,ضحك وجة ،ويكركر يضحك ويبتهج,ضحك وجة ،ويكركِر يضحك ويبتهج.
739,الكوره,نوع من أنواع الرز,نوع من أنواع الرز.
740,كمين,كم وكم,بمعنى كم وكم ،يقول الشاعر: ويروح لما البحر من لهمال ياكمين سيل ما في إلا سهيل قدهم يقولون العرب ما في النجوم الإسهيل
741,الكسرة,حركة معين تكون في رقصة الشرح أو الدراج,حركة معين تكون في رقصة الشرح أو) الدراج ( ،حيث يجثون على ركبة واحدة ثم يضرب الأرض بيده ويقوم ويعاود الرقص مره أخرى .
742,الكراث,الكرات,هو الكرات.
743,الكوت,اسم أديرة صغيرة النوافذ,وهو اسم أديرة صغيرة النوافذ ،يقبع فيها )العسكر( ويتناوبون للحراسة ، توجد على خشوم الجبال و من النواحي التي توقع مجيء الخصم منه تسمى في بعض المناطق )بالمُركز(.
744,كامبه,عمود الكهرباء,عمود الكهرباء.
745,الكعشوش,الشعر الكبير الغير مرتب,هو الشعر الكبير الغير مرتب .
746,الكوبره,امرأة تقوم بوظيفة تجهيز العروس وتزيينها الكوافيره,امرأة تقوم بوظيفة تجهيز العروس وتزيينها ) الكوافيره ( ،يقال في المثل ):إيش تلقي الكوبره بالوجه الشئوم(.
747,كرسوع,الساعد,الساعد .
748,الكواه,كل ما كان تحته لهب ودخان,كل ما كان تحته لهب ودخان ،فالكواه مدخنة يهرب منها دخان التنور ، والكواة حفرة في الجدار يوضع ا ) السراج (كالبافتيل والجرمل )الفانوس(.
749,الكفة,كفة الميزان,كفة الميزان .
750,الكف,آله بناء يسوي ا البناء الأسمنت بين الحجر,آله بناء يسوي ا البناء الأسمنت بين الحجر.
751,الكرى,الأجرة,وهي الأجرة ،ويكري يعني يؤجر ،والكرية الأجيرة ،يقال في المثل ):أم العمل ما هي كما الكرية(.
752,الكلان,العريس,العريس.
753,الكارة,نسيج ابيض رخيص جدا يتزرون به,نسيج ابيض رخيص جدا يتزرون به ،يغطي النصف الأسفل من الجسم.
754,كمبل,السليمود البطانيه,السليمود )البطانيه (.
755,كلين,كل واحد,بمعنى كل واحد ،يقول الشاعر: بعض الميادين فيها رويله***وخيول زينه -كلّين -يعرض بخيله ماهي لحجري ولابن هبيله*** ماتصلح إلاّ لفارس من الفرسان
756,الكعلة,اللمبة الصغيرة,اللمبة الصغيرة.
757,الكعال,الخصي ومفردها كعله,الخصي ومفردها كُعله.
758,كسعه,محفظة النقود النسائية الصغيرة,محفظة النقود النسائية الصغيرة.
759,كور,الرأس,بضم القاف و تسكين الواو بمعنى الرأس ،و تطلق للذي لا يفهم أو إن فهمه بطئ وليس لديه الاستيعاب السريع.
760,الكزابة,جوزة الهند النارجيل,جوزة الهند ) النارجيل ( ،والمثل القائل):بطيخه ولا كزابة(.
761,الكوفيه,الطاقية أو القلنسوة وأفخمها الزنجبارية أو,هي الطاقية أو القلنسوة وأفخمها الزنجبارية أو السواحلية ،حيث تلبس تحت العمامة ليمتص العرق ويقي من حرارة أشعة الشمس. )نموذج من الكوفية (
762,كعويله,مليم عود أو الأعواد من الحلوى,مليم عود أو الأعواد من الحلوى.
763,الكمه,غطاء رأس للأطفال والرجال شتاء,للوليد غطاء للرأس يشبه غطاء رأس الفلاحات الهولنديات الشهير ،وللرجال غطاء صوفي يغطي الرأس والأذنين في الشتاء ،ويخيطونه من بقايا الأقمشة لها بطانة داخلية وقماش ملون ظاهري .
764,الكفاه,خشبة الإطار العلوي للباب,خشبة الإطار العلوي للباب ،وربما نحتوا على الكفأة عبارات تدل على تاريخ البناء أو تاريخ صنع الباب أو آيات قرآنية أو أبيات من الشعر أو كلمات من الحكمة وفي المثل ) قع مردم تقع كفاة (.
765,الكرته,فستان للبنت ضيق من الأعلى متسع جدا من الأسفل,فستان للبنت ضيق من الأعلى متسع جدا من الأسفل ،مع قصر في طوله نوعاً ما بما يغطي الركبتين فقط.
766,الكرع,ماء المطر النقي العذب,ماء المطر النقي العذب.
767,الكليت,إذا كبر وبدا يمشي يلبس الكليت,إذا كبر وبدا يمشي يلبس الكليت ،وهو قميص له أكمام تخيط معه قطعة أخرى تشبه الإزار .
768,الكوتع,صندوق كبير يستخدم لحفظ الملابس والأغراض الش,وهو صندوق كبير يستخدم لحفظ الملابس والأغراض الشخصية ،وحل محله الدولاب أو )الكبت(.
769,كرفان,جمع كريف,جمع كريف ،وهو الماء المتواجد في حفر ،عادة تكون في الأرض ،يستفاد منها الناس والحيوان للشرب الغسل.
770,الكوز,إناء من الفخار يضع محليا لحفظ مياه الشرب,إناء من الفخار يضع محلياً لحفظ مياه الشرب ،يقول الشاعر: ولامقيلي يفي ولابرادي *** مافي جهنم كوز بارد
771,اللصف,نوع من أنواع الشجر الكبيرة,نوع من أنواع الشجر الكبيرة ،وتتكاثر في الأودية.
772,اللدوح,الضرب,الضرب ،والمثل القائل):الرجال بالمدوح البنات باللدوح.(
773,لا حد,لا أحد هو الواحد,بمعنى لا أحد )هو الواحد( ،يسقط الألف وهي للنفي فنقول):ولاحد هنا(. ويقول الشاعر: والخيل لي فيها المدد *** سرحت ولا حد شافها.
774,لهج,الخلفة أو الشباك,الخلفة أو الشباك.
775,لقرح,نموذج من اللهج التيس بدون قرون,)نموذج من اللهج( التيس بدون قرون.
776,اللياسة,تسويته أثناء المحض,أداة مسطحة تستخدم أثناء البناء )لتلييس الجدران( ،أي تسويته أثناء المحض .
777,اللسترك,الكهرباء,هي الكهرباء.
778,لقيت,ليش سويت كذا,بفتح التاء و شد القاف ،معنى سويت مثلاً يقال) :ليش لقيت كذا( ،أي ليش سويت كذا.
779,اللانه,أحد أجزاء الخلفة أو الباب,أحد أجزاء الخلفة أو الباب ،وهي الردفة.
780,لاما,إذا لم,بفتح اللام والميم ،بمعنى إذا لم ،والمثل القائل ):الحجام لاما لحق حاجة حجم لأمه( ،بمعنى إذا لم يلحق أحد يحجمه فإنه يحجم لأمه وإن كانت لا تحتاج إلى الحجامة حتى لا يضيع وقته.
781,لكعة,الضرب واللسع,الضرب واللسع ،وتأتي أحيانا بقصد الجرح المعنوي أو الكلام الجارح لشخص بطريقة غير مباشرة.
782,لاهي,فاضي بدون عمل واهتمام,فاضي بدون عمل واهتمام.
783,الليلون,لمبة النيون الطويلة,لمبة النيون الطويلة.
784,اللاسو,وشاح للمرأة يغطي الرأس والصدر يشبه النقبة,وشاح للمرأة يغطي الرأس والصدر يشبه )النقبة( ،إلا انه زاهي الألوان مزركش بنقوش خاصة تؤطر حوافه ،واخذ اسمه من المصدر الذي ورد منه )افريقيا( .
785,اللاس,قماش ناعم براق غالي الثمن,قماش ناعم براق غالي الثمن.
786,الالفي,كوفية العلماء والأشراف,كوفية يلبسها العلماء والقضاة والأشراف واعيان الناس وكل عريس يوم فرحه وسميت بالألفي لان العمامة ملتفة حولها بأحكام .
787,لغيطي,يطلق على تماوج السيل في وسط المطيرة,يطلق على تماوج السيل في وسط المطيرة.
788,ليش,لماذا,وهي تأتي بمعنى لماذا ،يقول الشاعر: ليش -بعض الناس*** لا شافوا ميولك نحوهم زينه رفعوا عليك الراس *** هل هم من ذهب وإلاّ من طينه
789,اللبان البدوي,اللبان العربي,هو اللبان العربي ،ويستخدم كبخور ،ويستخدم لتدخين المرأة )النفاس(.
790,اللبان الميطي,لبان يستخدم للمضغ فقط,لبان يستخدم للمضغ فقط.
791,لمان,إلى أو إلى أن,وهي تأتي بمعنى إلى أو إلى أن ،يقول الشاعر إذا جاعت تشكّت *** على الأحباب وتكّت
792,اللقذوف,لي جوعت نفسها -لمأن – ركت وهو راس التمر,وهي لي جوعت نفسها -لمّأن – ركّت وهو راس التمرة ،وهو يرمى ولا يؤكل.
793,اللين,مسحوق نباتي يستخدم للغسل والتطهير من الجراثيم,مسحوق نباتي يستخدم للغسل والتطهير من الجراثيم .
794,اللح,القريب جدا المتجذر في نسبه,القريب جداً المتجذِّر في نسبه ،اللصيق ،يقال )اخوي لح( :شقيقي )،جاري لح ( :داره ملتصقة بداري ) ،ابن عمي لح ( :ابن عمي نسبا .
795,لي,تأتي بمعنى الذي,وهي تأتي بمعنى الذي ،يقول الشاعر: لي ماعز نفسه في الهوى*** سيبه عبر فوقه الشاك
796,مسكه,قبضه,قبضه ) ،ومسكَة يد( قبض يد ،ويقال ):امسك (اقبض.
797,مولى,يعني صاحب ومولى العمل صاحب العمل,يعني صاحب ومولى العمل صاحب العمل.
798,مستقيه,المرأة الجالبة للماء على القربة,المرأة الجالبة للماء على القربة ،والمثل القائل):أبرد من جعبة مِستِقْيه(.
799,المعرص,عود خشبي لحمل تنكتين محملة الماء,عود خشبي لحمل تنكتين محملة الماء ،وحمل الأشياء الأخرى.
800,مدركه,شجرة جبلية صغيرة,شجرة جبلية صغيرة ،تتكاثر أثناء مواسم الأمطار.
801,ما حد,لا أحد,بمعنى لا أحد ) ،هو الواحد( يسقط الألف ،وهي للنفي فنقول):ما حد هنا(. يقول الشاعر: ماحد يكلم سعد خلّوه *** يعمل على مشتهاه. أي لا يكلمه أحد.
802,مديه,بيت الدجاج,بيت الدجاج.
803,محزم,مجموعة من أعواد القصب تجمع مع بعض في حزمه واحدة,مجموعة من أعواد القصب تجمع مع بعض في حزمه واحدة.
804,المصنعه,مجموعة من البيوت الحصون,مجموعة من البيوت )الحصون( ،المتراصة مع بعضها البعض ،تكون من أعلى البيوت وفوقها أو فوق هضبة أعلى البيوت ،وتكون خاصة بيوت للشيخ أو مقدم القبيلة والمقربين منه.
805,مصوع,متعب ومشاغب,متعب ومشاغب.
806,مبعد دري,لم يدر,بمعنى لم يدر ،يقول الشاعر: باختصر أقوالي بجملة والذي مبعد دري
807,مثناته,بداخله,أي بداخله.
808,مغضاف,جمعه مغاضيف,جمعه مغاضيف ،وهي أوصال من اللحم والشحم والكرشة تلف بخيط الأمعاء أو خيط غزل ،أكثر ما تشتهر ا حضرموت.
809,ملتلت,منسق ومرتب,منسق ومرتب.
810,المكسر,ايار في الأسوام لا يستطيعون ردمه حال وجود الماء,ايار في الأسوام لا يستطيعون ردمه حال وجود الماء ،ويصطلح لهذا الاسم فيقولون هناك مكسر في الساقية .
811,مشعوق,مشقوق أو مثقوب,مشقوق أو مثقوب.
812,منحاز,أداة طحن وتدقيق المواد,أداة مجوفة عملها تنعيم وتدقيق المواد الصلبة كالبن والزنجبيل.
813,ميدع,شجرة جوز الهند,شجرة جوز الهند.
814,موفر,مقياس الارتفاع,مقياس الارتفاع ،وهو كل عدد من المدر مرصوص في البناء فوق بعضه البعض ،يقدر بين ٥٠و ٧٠سم ،والطابق المترلي الأول في البيوت الطينية يساوي ٩ موافر ،حوالي ٥أمتار.
815,مصخن,الموقد,الموقد.
816,المدروف,اسم آله عازفه شبيهه بآلة المزمار,اسم آله عازفه شبيهه بآلة المزمار.
817,المفيش,من يقوم بإعداد الطين ويئته للزراعة,من يقوم بإعداد الطين ويئته للزراعة.
818,المعصورة,جمعها معاصير,جمعها معاصير ،الزاوية الدائرية للدرج أو الزاوية الدائرية للحصن ،كحصن سيئون أو آثار حصن ) حديه ( وغيرها من الحصون الدفاعية.
819,متعرض,الذي يتدخل فيما لايعنيه,وهو الذي يتدخل فيما لايعنيه.
820,المعشرة,الصينية أو الإناء,الصينية أو الإناء.
821,المفرية,المشلح والثوب الأبيض,المشلَح والثوب الأبيض.
822,المسبت,حزام من الجلد,حزام من الجلد ،يستخدم كحزام ووضع الرصاص فيه ،يقول الشاعر: طرح يدك على المسبت علن بالحرب يازحفان.
823,مهلل,يقول لا إله إلا االله,يقول لا إله إلا االله.
824,مبهورة,مريضة,مريضة.
825,المداحق,الأحذية,الأحذية.
826,منتره,اسم المكان المنحدر,اسم المكان المنحدر.
827,من,مقياس وزن جمعه أمنان و وأمنيه,مقياس وزن جمعه ) أمنان و وأمنيه (،يساوي ٢٨رطلاً.
828,مباصر,نظارات,نظارات
829,مريكوز,نوع من أنواع الرقص محبب لدى البادية,نوع من أنواع الرقص محبب لدى البادية .
830,حقب,عبارة عن وعاء حافظ ومجوف يوضع فيه حبوب البن,عبارة عن وعاء حافظ ومجوف يوضع فيه حبوب البن.
831,مخيله,بداية نزول الأمطار,بداية الأنواء وظهور إشارات المطر والمخاييلة هي الغيوث والأمطار.
832,المردم,خشبة الإطار العلوي للباب,خشبة الإطار العلوي للباب .
833,معزر,تقال كنوع من الإساءة والتهكم والشتم,تقال كنوع من الإساءة والتهكم والشتم.
834,المخرم,أداة تحتوي على عدة سنن من الحديد,أداة تحتوي على عدة سنن من الحديد ،تشق التربة لتفكيكها وويتها.
835,مشقاص,اسم يطلق على كل مناطق الجهة الشرقية,اسم يطلق على كل مناطق الجهة الشرقية.
836,مضبي,اللحم المشوي على الحجر,اللحم المشوي على الحجر ،يسمى لحم مضبي .
837,مرزوم,يقال على التمر مرزوم,يقال على التمر مرزوم ،هو التمر الذي يكون على شكل عجينه.
838,المجر,حبل يستخدم لفتح الباب من الخارج,حبل يستخدم لفتح الباب من الخارج ،يكون في فتحة توجد عند سدة البيت . )نموذجين من ار(
839,مغطل,الطين المغمور بالماء,وهو الطين المغمور بالماء ،عندما يأخذونه ويغطلون به على قطب القطعة.
840,مدفن,آداه تدفن الذرة في الطين في القطعة الزراعية,آداه تدفن الذرة في الطين في القطعة الزراعية.
841,مزاز,مدخن,مدخن . مفحطْ -فَحِيطْ نوع من أنواع السمسم أو )الجلجل(.
842,مطراق,شارع أو درب,شارع أو درب ،غالبا تطلق على الشارع الضيق أو الصغير.
843,مجعوث,الشي الغير مرتب والغير منسق,الشي الغير مرتب والغير منسق.
844,المخدور,المثقوب,المثقوب.
845,المرعاد,العرجون اللين المرن,العرجون اللين المرن .
846,الميراف,من انواع التمر الجيد,وهو من انواع التمر الجيد ،والتمرة منه كبيرة محمرة.
847,المطاليب,المدعوون,المدعوون.
848,المسيال,مجرى السيل,مجرى السيل ،والمثل القائل) :بعير إنكسر في المسيال(.
849,موتر,سيارة,سيارة.
850,المزحاة,من أدوات المزارعين,من أدوات المزارعين ،يزيحون ا الطين إلى حواف قناة الري ،ويستخدموا في شؤون الزراعة الأخرى.
851,المنكي,بناء بالحجر,وهو بناء بالحجر ،يبنى على بعض الجروب أو القطع بغرض إنقاص كمية الماء ، ويكون مصرف على ساقيه أو وادي فرعي لأجل عدم فيضان الماء من الساقية ، حيث يترل ويصرف في حفره أو في النخل.
852,مسواك,الاراك,الاراك ،شجر كبير ظليل له رائحة مميزة تشم من بعد ،تنمو في بعض بقاع حضرموت .
853,مصرى,مكيال حضرمي = 14 أوقية,مكيال حضرمي جمعها ) مصاري ( يساوي ١٤أوقيه والصاع يساوي ٢ مصاري ،تستخدم وحدة سعة للحبوب والغلال .
854,ماعون,أواني المترل,أواني المترل.
855,مكيال,جمعها مكاييل,جمعها ) مكاييل ( ،في غرب حضرموت يساوي ٨مصاري ،وفي القطن وشبام وسيئون ) شرق حضرموت ( يساوي ١٠ مصاري ،يستخدم وحدة سعة للحبوب والغلال .
856,المد,مقياس للحبوب,مقياس للحبوب ،أيضاً من بر وخلافه ،وتعد ثلاث رباع تساوي مد ،وهو أيضاً أداه غالباً ما يكون مصنوع من الأخشاب.
857,الماهي,أداة خشبية تنتهي بحبل,أداة خشبية تنتهي بحبل ،يتجاذا شخصان لتسوية الأرض الزراعية.
858,الميل,لمبة النيون,لمبة النيون.
859,المدمون,الماء المعكر غير الصافي,الماء المعكر غير الصافي.
860,المقلع,شتلة النخل الصغيرة,شتلة النخل الصغيرة .
861,منشله,المنخل,المنخل.
862,مقطب,قطعة من القماش بطول اذرع تربط كإزار,قطعة من القماش بطول ٤اذرع تربط كإزار ،وكانت تصبغ بالنيل.
863,منسف,تستعمل لنخل وتصفية البر والرز أو الذرة,تستعمل لنخل وتصفية البر والرز أو الذرة. )نموذجين من ار(
864,المطيره,قطعة الأرض الزراعية تساوي ١٨,جمعها مطر بضم الميم والطاء ،قطعة الأرض الزراعية تساوي ١٨،٧إلى ٣٩،٧ مترا مربعا ،وأيضاً من وحدات القياس تقاس ا الأطوال.
865,المديني,تمر أسود صغير,تمر شديد السواد صغير الحجم ويكون لون بلحه احمر يقال في المثل) :إيش لك في المديني يامشنق عيونك(.
866,المرية,عقود من الفضة أو الذهب للمرأة,عقود من الفضة أو الذهب للمرأة.
867,المحول,المنبيء بوصول السيل,المنبيء بوصول السيل.
868,ماني,ما أنا,بفتح الميم ،وتأتى بمعنى ما أنا ،ويستعملون زيادة حرف إن ليستقيم الوزن لهم
869,المقرمة,وشاح خفيف النسج بارد وزاهي الألوان,وشاح خفيف النسج بارد وزاهي الألوان.
870,من وين,من أين,من أين ؟ ) من وين الاخ ( :من أين ؟ ) وينك من زمان ( ؟ أينك ) ،من وين الوين( :منذ عهد بعيد .
871,المكرم,الذي يردد لفظة كريم ياكريم عند مشاهدة البرق,الذي يردد لفظة )كريم ياكريم (عند مشاهدة البرق ،ويسمى البارق.
872,المطي,حامل الخيل,وهو حامل الخيل .
873,حفة,المل مثل الصارون,الملْ مثل الصارون ،تغطي النصف الأسفل من الجسم.
874,المدخنه,المبخرة,وهي المبخرة .
875,مصه,الآسكريم المصنوع بالثلج,وهو الآسكريم المصنوع بالثلج ،وأشهرها بالحومر )التمر الهندي( مصه بالحومر ،يكون لها عود .
876,المسيبلي,الذرة ذات اللون الأخضر,الذرة ذات اللون الأخضر ،ويكون من خبز المسيبلي الأسود ،والحبوب هذه تعطى للطيور لصغرها .
877,المداد,دفع المهر ونحوه,دفع المهر ونحوه.
878,المقشرة,حبوب الذرة بعد قليها بالزيت,حبوب الذرة بعد قليها بالزيت ) ،الفوشار او البوشار ( .
