ID,الكلمة الحضرمية,الفصحى,الشرح الكامل
63,باير,رديء فاسد غير صالح,بمعنى رديء وسيئ ومخادع ومحتال ،يقولون):إنسان باير( ،أي إنسان رديء وغير صالح ومخادع ويقولون ):بضاعة بايره( ،أي تالفة وغير صالحه والمثل القائل ):بضاعة بايره ولا غريم مطل(.
64,بيح,فسحة رعي الحيوانات,بمعنى الفسحة أو الرخصة ،والمراد به الترخيص للحيوان والنشرة برعي الكلاء والعشب بكل حرية مطلقة بعد ما كان ممنوعاً من قبل عليها.
65,باع,وحدة طول سم,جمعه ) باعات ( ،وهي المسافة من طرف الأنف إلى اية إصبع اليد اليمنى ممدودة حوالي ١٠٨سم ،كما جاءت هذه اللفظة في الحديث المشهور )ما تقرب مني عبدي ...الحديث(.
66,البنطلون,البنطال,البنطال.
67,بزبوز,كثير الكلام,وهي )الحنفية( صنبور الماء ،أحياناً تلقَّب للشخص الكثير الكلام يقال) :هذا شخص بزبوز( ،أي كثير الكلام.
68,البرنص,يوضع على الرأس وحول الصدر وعلى الكتفين,يوضع على الرأس وحول الصدر وعلى الكتفين ،مع بقاء صفحة الوجه ظاهرة.
69,باشته,ورقة الكوتشينة المعروفة,ورقة الكوتشينة المعروفة.
70,البوني,الباب الذي يفصل بين جناح وآخر في البيت,الباب الذي يفصل بين جناح وآخر في البيت.
71,بشق,اختلى به - في جانب,في جانب يقول الشاعر) :انته بشق يا كامل الأوصاف والدنيا بشق(.
72,بر زبه,اختلى به,أي اختلى به ،يقال):بغيت بابرز بك( ،أي أريد محادثتك على انفراد ، )والبرزة ( الكلام مع آخر على انفراد ،وفلان ) مبرز ( يعني لوحده في الس متفرد وحيد مبتعد في ركن الس بخلاف الآخرين المتقاربين والمثل القائل: )برز بي وقل لي حب أمك(.
73,البكرة,عمود دائري من الحجر يرفع به السقف,وهي عمود دائري من الحجر يرفع به السقف ،يضع في كل غرف الدور الأرضي تبعا لحاجة مساحة الغرفة.
